Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,3399.342,3571.209,3705.254,3840.702,4034.926,4339.471,4365.247,4572.791,4784.823,4620.82,4478.038,4747.563,4889.398,4941.142,5008.359,4808.296,4686.172,4447.08,4429.187,4661.921,4652.383,4663.165,4825.445,5050.268,5131.927,5113.455,5057.931,5167.481,5267.343,5358.824,5421.502,5610.582,5686.465,5731.05,5804.669,6010.508,5904.882,5946.771,6011.837,6114.007,6134.521,6051.668,6131.004,5914.078,5478.21,5675.786,5540.173,5338.698,5474.257,5522.807,5371.771,5248.024,5207.751,5375.491,5255.816,4712.771
China,500.286,549.459,460.226,495.507,607.683,807.953,909.21,968.646,1008.293,1028.1,1183.215,1226.421,1340.831,1492.778,1525.661,1494.496,1476.488,1606.585,1694.217,1844.828,1998.083,2104.213,2257.739,2425.894,2463.654,2484.855,2606.096,2730.788,2921.651,3100.002,3357.909,3503.234,3510.169,3360.455,3350.34,3439.152,3514.934,3872.595,4545.014,5223.755,5876.555,6488.804,6978.612,7496.832,7886.533,8616.653,9528.556,9775.622,9952.744,9985.583,9848.42,9720.444,9920.459,10289.99,10489.989,10667.887
Russia,1156.312,1221.123,1276.867,1312.749,1367.141,1437.871,1525.874,1605.411,1673.209,1736.921,1825.755,1896.073,1960.565,2027.894,2044.713,2125.165,2084.698,2124.002,2154.129,2173.259,2343.796,2344.124,2355.475,2430.947,2400.308,2525.518,2396.205,1957.886,1859.679,1641.616,1613.141,1580.376,1475.36,1458.368,1486.301,1471.259,1507.707,1495.694,1525.607,1530.694,1547.599,1606.542,1604.549,1636.923,1528.961,1613.113,1665.207,1680.104,1619.42,1622.589,1623.1,1618.599,1646.457,1691.647,1679.449,1577.136
Japan,386.471,419.245,489.307,561.913,653.215,767.963,796.544,852.17,914.265,914.306,868.511,907.145,933.238,901.59,953.071,944.869,926.835,897.408,880.909,937.07,912.401,912.26,902.53,985.464,1021.682,1158.007,1169.692,1179.396,1172.339,1227.273,1239.62,1251.531,1244.781,1204.993,1241.611,1264.375,1249.766,1279.12,1287.468,1282.862,1290.371,1267.362,1303.134,1232.314,1163.213,1214.816,1264.866,1306.01,1315.343,1263.729,1223.396,1203.718,1188.123,1143.458,1105.929,1030.775
Germany,960.102,951.422,936.229,984.791,1052.001,1026.022,1037.237,1041.481,1085.738,1062.727,1002.447,1090.84,1052.609,1079.133,1117.888,1100.066,1048.523,1015.734,1011.605,1033.245,1044.118,1047.472,1032.443,1029.024,1008.792,1052.477,1014.225,965.893,956.132,939.815,938.968,959.151,931.324,923.357,895.874,899.852,916.649,899.971,901.152,887.089,866.697,878.32,851.624,854.927,790.295,832.949,809.217,813.985,831.454,792.588,795.61,800.687,785.883,754.112,711.428,644.31
India,153.868,159.54,159.726,174.246,177.589,181.899,192.145,203.227,209.291,216.061,234.439,244.99,259.215,263.398,276.542,291.992,315.266,325.684,352.53,361.889,397.953,426.699,455.759,492.144,541.135,578.518,615.925,656.033,677.916,716.918,762.121,825.919,859.686,877.698,951.749,978.919,992.56,1023.027,1059.616,1125.471,1185.953,1259.744,1358.152,1462.815,1612.817,1677.888,1780.13,1963.586,2036.937,2185.856,2268.567,2382.223,2433.856,2599.806,2625.968,2441.792
United Kingdom,622.112,618.075,592.057,606.488,628.383,652.577,660.388,648.026,659.577,617.184,603.247,598.526,604.362,604.714,644.513,579.035,560.554,548.24,545.485,529.108,559.627,568.554,571.668,570.294,581.576,600.344,608.431,592.884,578.635,574.641,566.568,588.188,562.333,567.6,561.109,567.585,576.314,560.066,571.472,572.904,569.962,567.572,559.236,544.498,493.895,511.632,469.454,487.517,477.387,438.541,422.34,399.337,387.565,381.89,369.01,329.579
Canada,251.917,259.074,281.637,303.261,307.119,341.177,352.287,380.792,381.273,389.617,396.787,398.962,407.79,415.529,441.677,442.847,429.63,414.455,408.339,425.233,421.719,404.708,430.982,455.669,462.885,458.007,449.699,463.521,463.993,478.267,490.951,507,521.278,528.987,543.73,566.552,559.042,564.669,582.344,580.759,575.852,571.41,594.665,579.367,546.61,558.804,569.87,569.263,573.699,570.563,573.061,559.567,569.36,579.47,582.39,535.823
Ukraine,366.521,387.013,404.61,415.91,433.109,455.567,483.408,508.601,530.038,550.16,578.272,600.517,620.894,642.147,647.476,673.004,659.953,672.464,681.926,687.939,742.189,739.272,733.237,725.849,682.617,705.83,632.537,589.06,510.2,419.266,389.865,351.409,340.243,328.579,298.204,285.337,303.559,295.673,307.017,310.363,313.118,332.67,336.364,325.533,277.294,294.078,307.953,303.976,297.25,257.509,223.822,234.006,223.085,232.033,222.579,213.909
France,362.962,379.107,403.416,416.951,442.189,459.523,492.108,512.476,537.407,519.205,480.182,521.988,505.137,526.982,530.74,509.285,457.517,438.607,421.557,410.104,403.207,388.262,385.362,382.765,396.782,392.998,417.134,406.979,387.667,381.026,385.975,402.403,395.245,413.906,411.544,405.901,410.533,406.01,411.946,413.149,415.518,405.761,395.428,387.992,368.631,376.576,353.735,355.932,357.537,325.886,329.91,333.579,336.996,322.372,315.931,276.634
