Country,average_coal_10,average_gas_10,average_10_oil,average_10_carbon
Argentina,12.19963636,414.3029091,307.9343636,135.3821818
Australia,619.3588182,285.8875455,500.9139091,84.45127273
Austria,42.24172727,89.40336364,154.4722727,133.4194545
Belgium,50.91036364,172.7568182,379.8415455,150.5873636
Brazil,160.9684545,246.3793636,1186.064455,1262.067727
Bulgaria,82.51336364,29.53,54.08672727,55.89118182
Canada,309.6836364,935.9538182,1260.976818,1292.814818
Chile,51.18009091,62.12981818,188.3193636,78.98563636
China,18300.89964,899.0413636,4645.258818,2013.735455
Colombia,42.31036364,77.37736364,137.3035455,120.5008182
Cyprus,0.260090909,0,32.70672727,0
Czechia,225.2042727,85.45381818,111.4105455,91.57327273
Denmark,47.60390909,48.07245455,102.9436364,59.48327273
Ecuador,0,5.761909091,109.4704545,25.202
Egypt,7.604272727,393.7586364,371.0554545,40.46927273
Finland,71.11509091,39.753,119.3046364,154.5531818
France,139.4898182,458.4198182,1035.3,1391.696364
Germany,946.4773636,870.0583636,1389.494,838.1714545
Greece,97.59618182,34.76245455,229.5700909,28.93109091
Hong Kong,81.39345455,26.84481818,189.5285455,0
Hungary,34.06263636,119.417,81.47554545,48.19036364
Iceland,1.156,0,9.278909091,45.31872727
India,3027.663545,437.428,1697.207273,497.3151818
Indonesia,417.4628182,399.965,785.2242727,77.31936364
Iran,15.97772727,1235.871727,955.438,34.53345455
Iraq,0,45.35590909,310.0797273,11.26527273
Ireland,26.23881818,47.02863636,97.62254545,15.92509091
Israel,91.88772727,30.98663636,142.0020909,0
Italy,176.8693636,767.0831818,930.4748182,249.4782727
Japan,1321.861091,982.7837273,2720.858727,944.7974545
Kuwait,0.311818182,130.0665455,221.2092727,0
Luxembourg,0.796636364,12.90554545,34.47254545,1.067090909
Malaysia,122.4401818,387.3583636,366.6897273,24.01654545
Mexico,133.7709091,612.7641818,1089.202545,151.4903636
Morocco,37.99963636,6.185181818,126.1581818,6.995818182
Netherlands,93.154,411.1439091,541.1338182,60.82172727
New Zealand,21.15145455,41.62345455,85.06018182,95.92236364
Norway,8.544545455,42.46109091,119.2477273,336.2597273
Oman,0.130090909,141.7989091,66.70218182,0
Pakistan,48.846,334.6701818,223.9801818,80.87863636
Peru,10.17627273,35.42663636,98.20654545,54.96327273
Philippines,71.90590909,33.05709091,171.9942727,78.20554545
Poland,635.209,152.8907273,293.1040909,42.19881818
Portugal,32.75490909,44.07927273,161.1866364,72.25545455
Qatar,0,226.0214545,72.75072727,0
Romania,97.284,142.5204545,113.3276364,71.21709091
Saudi Arabia,0.552181818,762.6177273,1369.572273,0
Singapore,0.368727273,79.31545455,603.7384545,2.888818182
Slovakia,46.40981818,58.88554545,42.67054545,57.16172727
South Africa,1013.154818,35.035,301.5104545,40.01845455
South Korea,775.1162727,391.2241818,1240.882182,411.0970909
Spain,178.8344545,338.5188182,845.5657273,456.4318182
Sri Lanka,1.724909091,0,48.72354545,11.56890909
Sweden,30.52209091,10.41736364,189.0002727,417.1301818
Switzerland,1.677454545,32.406,143.0990909,169.4593636
Taiwan,439.2103636,132.1469091,572.4700909,131.9338182
Thailand,160.678,380.4610909,569.1873636,39.92854545
Trinidad and Tobago,0,185.2242727,24.04818182,0.084454545
Turkey,332.5767273,330.904,383.458,132.6427273
United Arab Emirates,5.996090909,520.4537273,349.4167273,0
United Kingdom,417.8222727,921.3058182,928.6456364,316.9910909
United States,5840.884455,6327.996455,10363.79327,3889.513455
Venezuela,1.766,329.8214545,396.8701818,208.5233636
Vietnam,132.5008182,69.78690909,170.3327273,79.46390909
